a,a
a dua,blandish
a hoàn,A complete
a phiến,a slab
a tòng,a tong
à,ah
ả,her
ả đào,peach
á,Asian
á khẩu,ah mouth
á khôi,second place
á kim,metalloid
ạ,yes
ác,evil
ác cảm,malevolence
ác chiến,evil war
ác mộng,nightmare
ác nghiệt,evil
ác tà,evil
ác tâm,malevolence
ác thú,evil
ách,yoke
ạch,eh
ai,Who
ai ai,who
ai điếu,condolence
ai oán,resentful
ải,gate
ải quan,customs
ái,love
ái ân,love
ái hữu,dear friend
ái khanh,love
ái lực,affinity
ái mộ,admire
ái nam ái nữ,androgynous
ái ngại,shy
ái phi,love
ái quốc,patriotic
ái tình,love
am,am
am hiểu,acknowledge
am pe,amps
ảm đạm,bleak
ám,haunted
ám ảnh,obsess
ám chỉ,refer
ám hại,harm
ám hiệu,signal
ám muội,underhand
ám sát,assassinate
ám tả,hint
ám thị,insinuation
an,an
an bài,arrangement
an cư,settle down
an dưỡng,sanatoriums
an nghỉ,rest in peace
an ninh,security
an phận,peace of mind
an táng,burial
an tâm,assurance
an toàn,safe
an ủi,appease
an vị,seat
án,sentence
án mạng,murder
án ngữ,sentence sentence
án phí,court fees
án sát,murder
án thư,judgment letter
ang,English
ang áng,morning
áng,ang
anh,older brother
anh ánh,Anh Anh
anh dũng,heroic
anh đào,Cherry
anh em,brothers
anh hùng,hero
anh linh,heroic spirit
anh tài,talented brother
anh thư,heroine
anh tuấn,handsome
ảnh,image
ảnh ảo,virtual image
ảnh hưởng,affect
ánh,luster
ánh sáng,the light
ao,pond
ao ước,wish
ào,ooh
ào ào,hush
ào ạt,stormily
ảo,virtual
ảo ảnh,illusion
ảo giác,illusion
ảo mộng,wish a dream not real
ảo não,brain illusion
ảo thuật,Magic
ảo tưởng,illusion
ảo tượng,thought
áo,shirt
áo choàng,cloak
áo dài,Ao Dai
áo giáp,armor
áo gối,pillowcase
áo mưa,raincoat
áo quan,coffin
áo quần,clothes
áo sơ mi,shirt
áp,pressure
áp bức,oppressive
áp dụng,apply
áp đảo,overwhelm
áp đặt,imposed
áp giải,escort
áp lực,pressure
áp suất,Pressure
áp tải,escort
áp tới,apply to
át,ace
au,au
áy náy,repentent
ắc qui,battery
ăm ắp,humm
ẵm,hug
ăn,eat
ăn bám,parasitic
ăn bận,busy eating
ăn bốc,eat up
ăn bớt,eat less
ăn cánh,eat wings
ăn cắp,steal
ăn chay,vegetarian
ăn chắc,ground
ăn chơi,dissipated
ăn cỗ,eat dinner
ăn cưới,go to the wedding
ăn cướp,rob
ăn giải,prizes
ăn gian,cheating
ăn giỗ,celebrate the anniversary
ăn hại,useless
ăn hiếp,rape
ăn hỏi,interrogation
ăn hối lộ,bribery
ăn không,eat
ăn khớp,match
ăn kiêng,Diet
ăn lãi,profit
ăn lương,get paid
ăn mày,mendicity
ăn nằm,eat and lie down
ăn năn,repent
ăn nhịp,eat rhythm
ăn nói,talkative
ăn ở,accommodation
ăn quịt,eat shit
ăn sống,eat raw
ăn sương,eat dew
ăn tạp,gobble
ăn tết,Tet
ăn tham,greedy
ăn thề,swear
ăn thua,lose
ăn thừa,overeat
ăn tiệc,regale
ăn tiền,eating money
ăn tiêu,eat pepper
ăn trộm,thief
ăn uống,Eating
ăn vạ,tantrums
ăn vụng,clumsy
ăn xổi,squander
ăn ý,good taste
ắp,ap
ắt,yes
âm,minus
âm ấm,lukewarm
âm ba,soundwave
âm cung,chord
âm cực,cathode
âm dương,lunisolar
âm đạo,vagina
âm điệu,tone
âm hạch,clitoris
âm hộ,vulva
âm hồn,soul
âm hưởng,resonator
âm ỉ,smoldering
âm lượng,volume
âm mao,yin Mao
âm mưu,conspiracy
âm nang,scrotum
âm nhạc,music
âm phủ,Hell
âm sắc,timbre
âm thầm,silently
âm thoa,tuning fork
âm tín,tone
âm u,dark
âm vận,yin luck
ầm,um
ầm ĩ,noisy
ẩm,warm
ẩm thấp,damp
ẩm thực,culinary
ấm,warm
ấm áp,warm
ấm cúng,homey
ấm no,warm
ân,favor
ân ái,love
ân cần,thoughtful
ân hận,regret
ân huệ,favor
ân nghĩa,favor
ân nhân,benefactor
ân oán,grudges
ân tình,Love
ân xá,pardon
ẩn,hide
ẩn dật,recluse
ẩn náu,refuge
ẩn ý,hidden meaning
ấn,press
ấn định,fixed
ấn hành,publication
ấn loát,printing
ấn quán,printing office
ấn tín,seal
ấn tượng,impressive
ấp,hamlet
ấp ủ,cherished
ập,smack
âu,Europe
âu phục,uniform
âu sầu,sad
âu yếm,cuddle
ẩu,careless
ẩu đả,affray
ấu,bro
ấu trĩ,childish
ấu trùng,larval
ấy,that
ba,father
ba ba,tortoise
ba bó một giạ,three bundles a bushel
ba chân bốn cẳng,three legs four legs
ba chìm bảy nổi,three sink seven float
ba đào,three peaches
ba gai,three spines
ba hoa,brag
ba láp,three times
ba lăng nhăng,three promiscuous
ba lê,ballet
ba lô,backpack
ba phải,three must
ba quân,three pieces
ba que,three sticks
ba rọi,bacon
ba sinh,three births
ba trợn,three-fold
bà,grandma
bà chủ,mistress
bà con,cousin
bà đỡ,midwife
bà phước,deaconess
bà vãi,nun
bả,ba
bả vai,shoulder
bã,residue
bá,ba
bá cáo,report
bá chủ,suzerain
bá hộ,tinny
bá láp,frivolous
bá quan,public officials
bá quyền,hegemony
bá tánh,occult
bá tước,Earl
bá vương,hegemony
bạ,you
bác,Aunt
bác ái,charity
bác cổ,old uncle
bác học,learned
bác sĩ,doctor
bác vật,doctor
bạc,the silver
bạc ác,evil silver
bạc hà,Mint
bạc hạnh,silver happiness
bạc nghĩa,silver meaning
bạc nhạc,music silver
bạc nhược,feeble
bạc phận,fate
bạc tình,love affair
bách,cypress
bách bộ,walk
bách hợp,Lis
bách khoa,Encyclopedia
bách nghệ,Polytechnic
bách niên giai lão,centenaries during aging
bách phân,centigrade
bách thảo,Botanical
bách thú,zoo
bách tính,cynics
bạch,White
bạch cầu,white blood cells
bạch cúc,chrysanthemum
bạch cung,white palace
bạch dương,birch
bạch đàn,Eucalyptus
bạch đinh,white clover
bạch huyết,lymph
bạch kim,platinum
bạch lạp,white lap
bạch ngọc,White gem
bạch tuộc,octopus
bạch tuyết,Snow White
bạch yến,canary
bài,post
bài bác,denounce
bài học,lesson
bài làm,assignment
bài thơ,poem
bài tiết,excrete
bài vị,tablet
bài xích,ostracism
bãi,beach
bãi bỏ,rejected
bãi chức,dismissal
bãi cỏ,grass
bãi công,strike
bãi nại,dismissed
bãi tha ma,graveyard
bãi trường,school yard
bái,worship
bái biệt,goodbye
bái phục,homage
bái tạ,thank you
bái yết,pay homage
bại,lose
bại hoại,corrupt
bại lộ,exposed
bại sản,bankruptcy
bại trận,lose
bại vong,defeat
bám,cling
ban,you
ban ân,bestow
ban bố,promulgate
ban công,balcony
ban đầu,initial
ban đêm,night
ban hành,promulgate
ban khen,you praise
ban ngày,daytime
ban phát,give
ban thưởng,reward
bàn,table
bàn bạc,discussion
bàn cãi,debate
bàn chải,brush
bàn cờ,chessboard
bàn giao,hand over
bàn mổ,operating table
bàn tán,discussed
bàn tay,hand
bàn thờ,altar
bàn tính,abacus
bàn tọa,sitting table
bản,copy
bản án,judgment
bản chất,nature
bản đồ,map
bản lề,hinge
bản năng,instinct
bản ngã,ego
bản quyền,license
bản sao,copy
bản sắc,identity
bản thảo,draft
bản tính,nature
bản vị,original
bản xứ,native
bán,sell
bán buôn,Wholesale
bán cầu,hemisphere
bán chịu,credit
bán dạo,hawker
bán đảo,Peninsula
bán kết,semifinal
bán khai,semi-disclosed
bán kính,radius
bán lẻ,retail
bán nguyệt,semicircle
bán nguyệt san,semi-monthly
bán niên,semi-annual
bán thân,bust
bán tín bán nghi,sell credit
bán tự động,semi-automatic
bạn,friend
bạn đọc,you read
bạn đời,best friend forever
bạn học,classmate
bạn lòng,best friend
bạn thân,best friend
bang,bang
bang giao,relations
bang trợ,state aid
bang trưởng,mayor
bàng,eagle
bàng hoàng,shocked
bàng quan,indifferent
bàng thính,hearing aid
bảng,board
bảng danh dự,honor board
bảng đen,blackboard
bảng hiệu,sign
báng,bang
báng bổ,blasphemy
banh,ball
bành,Peng
bành trướng,expand
bảnh,handsome
bảnh bao,dapper
bánh,cake
bánh bao,dumplings
bánh lái,helm
bánh mì,bread
bánh tráng,ricepaper
bao,bag
bao bì,packaging
bao biện,excuses
bao bọc,cover
bao dung,generous
bao giờ,when
bao gồm,consists of
bao hàm,include
bao la,immense
bao lơn,balcony
bao nhiêu,how much
bao tay,glove
bao thơ,envelope
