tu_tieng_Viet,tu_tieng_Viet,isSuper
tiếng chuông,Ring tone,
có thể thu hồi,recoverable,
sẻ chia,share,
bông cải,broccoli,
bảng ghi nhớ,memo board,
vở kịch,drama,
đá ong,beestone,
chung sống,live together,
loa phát thanh,loudspeaker,
nứt đố đổ vách,cracked wall puzzle,
rất dễ chịu,very comfortable,
bồng bế,hold in the arms,
thành thật,honest,
người đổi mới,innovator,
chưa được công nhận,unrecognized,
đội mũ,wear a hat,
ăn thịt,eat meat,
thời gian lưu hành,circulation time,
cuồng nộ,fury,
thoả lòng,satisfied,
sự hội tụ,convergence,
làm đầu,head,
trở nên cay độc,become cynical,
tỷ suất lợi nhuận ròng,net profit margin,
đơn sắc,monochrome,
cơ quan chính phủ,Government agencies,
hiệp lực,contributory,
isobutan,isobutane,
tính điện học,electrical properties,
đồ đảng,party clothes,
không cẩn trọng,careless,
người dạy nghề,vocational trainer,
độ dôi,redundancy,
cử tọa,audience,
ban đỏ,scarlet fever,
chính quyền,government,
biến áp,Transformer,
người xưa,antediluvian,
văng ra,fly,
chuyển hóa,metabolism,
sưởi ấm,warm,
đại uý,captain,
phòng ban,Department,
nói ám chỉ,hint,
sự nhân từ,benevolence,
bị khuất phục,subjugated,
cá nước ngọt,fish,
mưu chước,wile,
thông mạch,clear the vein,
hàng xứ,goods of origin,
cuộc đọ súng,gunfight,
cá rô phi,Tilapia,
tư dinh,private residence,
bệnh xương giòn,brittle bone disease,
sự tẩy chay,boycott,
tỷ lệ sinh,birth rate,
tính tương tác,interactivity,
siêu điện áp,super voltage,
yên ả,peaceful,
người sùng đạo,devotee,
cái chuồng,the barn,
đơn vị xã hội,social unit,
không chồng,no husband,
lập loè,flamboyant,
đồ đá,stoneware,
hành tội,commit crimes,
u hạt,granuloma,
lưới thép,mesh,
chuyển nhà,moving house,
ngẩng đầu lên,raise your head,
ghi nhãn,labeling,
người kể chuyện,storyteller,
năng khiếu,Gifted,
hiện thời,now,
cuộc thăm dò,survey,
tương phản trực tiếp,direct contrast,
lắng đọng,deposition,
buộc thôi việc,forced to quit,
xướng ca,chorus,
phụ vào,depend on,
phân hạch hạt nhân,nuclear fission,
sự lắc,lurch,
khách trọ,Guest Accommodation,
hửng sáng,dawn,
sự thải hồi,discharge,
cứu giúp,help,
đào tạo nghề,vocational training,
mêtrô,metro,
chứng đau lưng,lumbago,
ôtô,car,
sự rã,decay,
quần áo lụa,silk clothes,
thanh toán một phần,Partial payment,
cần số,gear lever,
tuabin,turbine,
sự cảnh cáo,warning,
hầu tước,marquess,
liên thông,connection,
ăn cơm,eat,
đổ sập,collapsed,
người biên giới,border people,
bất quy tắc,irregular,
người cư trú,resident,
sử thi,Epic,
che bóng,shadow,
thổi sáo,flute,
vô hồn,Not feeling,
yên ắng,quiet,
vòm miệng,palate,
chậm hiểu,slow understand,
sự xác nhận,Submition,
ăn liền,instant food,
chống thấm,Waterproofing,
đeo vai,shoulder,
tính thật thà,honesty,
người phát ngôn,spokesman,
trạm y tế,clinics,
nện cho,beat for,
sao hỏa,Mars,
sự lâu dài,endurance,
chập,short,
sừng trâu,horn,
cuộc hẹn,appointment,
đèn sương mù,fog lights,
bi thương,tragic,
đã kết hôn,Married,
áo đầm,dress,
hươu xạ,musk deer,
Á Châu,Asia,isSuper
đau nửa đầu,migraine,
tay quen,familiar hand,
vòng tránh thai,IUD,
nguỵ tác,fallacy,
phản xạ ánh sáng,light reflection,
ô này,"Oh, hey you",
bị ảnh hưởng xấu,badly affected,
công binh,engineer,
nguồn tác giả,author source,
vơ vét,plunder,
điều chế,Modulation,
chậu rửa bát,sink,
đơn vị quân đội,military units,
kẻ đe dọa,menace,
cực hữu,far right,
nhân viên thư ký,Secretary,
làm suy ngẫm,think,
khéo xoay xở,cleverly managed,
còng tay,handcuff,
sự quang vinh,glory,
roi da,whip,
điện động lực học,electrodynamics,
mặt dài,long face,
tràng pháo tay,applause,
lý thuyết chính trị,political theory,
đội xe,fleet,
nước dâng,rising water,
làm nản chí,discourage,
hình nộm,dummy,
bán thành phẩm,semi-finished products,
dựa dẫm,reliance,
ly giáo,schism,
con sư tử,Lion,
món nợ,debt,
giọng trầm,deep voice,
lí do,reason,
sự uỷ quyền,authorization,
khoảng trống,space,
diêm đài,Yantai,
sát khuẩn,sanitize,
làm to ra,enlarge,
